date,total_value
2008-12-08 16:00:00,99587.0
2008-12-09 16:00:00,99587.0
2008-12-10 16:00:00,99587.0
2008-12-11 16:00:00,99587.0
2008-12-12 16:00:00,99587.0
2008-12-15 16:00:00,99587.0
2008-12-16 16:00:00,99587.0
2008-12-17 16:00:00,99587.0
2008-12-18 16:00:00,99587.0
2008-12-19 16:00:00,99587.0
2008-12-22 16:00:00,99587.0
2008-12-23 16:00:00,99587.0
2008-12-24 16:00:00,99587.0
2008-12-26 16:00:00,99587.0
2008-12-29 16:00:00,99587.0
2008-12-30 16:00:00,99587.0
2008-12-31 16:00:00,99587.0
2009-01-02 16:00:00,99587.0
2009-01-05 16:00:00,99587.0
2009-01-06 16:00:00,99587.0
2009-01-06 16:00:00,99587.0
2009-01-06 16:00:00,99587.0
2009-01-07 16:00:00,99633.0
2009-01-08 16:00:00,99705.0
2009-01-09 16:00:00,99713.0
2009-01-12 16:00:00,99462.0
2009-01-13 16:00:00,99583.0
2009-01-13 16:00:00,99583.0
2009-01-13 16:00:00,99583.0
2009-01-14 16:00:00,99583.0
2009-01-15 16:00:00,99583.0
2009-01-16 16:00:00,99583.0
2009-01-20 16:00:00,99583.0
2009-01-21 16:00:00,99583.0
2009-01-22 16:00:00,99583.0
2009-01-23 16:00:00,99583.0
2009-01-26 16:00:00,99583.0
2009-01-27 16:00:00,99583.0
2009-01-28 16:00:00,99583.0
2009-01-29 16:00:00,99583.0
2009-01-30 16:00:00,99583.0
2009-02-02 16:00:00,99583.0
2009-02-03 16:00:00,99583.0
2009-02-04 16:00:00,99583.0
2009-02-05 16:00:00,99583.0
2009-02-06 16:00:00,99583.0
2009-02-09 16:00:00,99583.0
2009-02-10 16:00:00,99583.0
2009-02-11 16:00:00,99583.0
2009-02-12 16:00:00,99583.0
2009-02-13 16:00:00,99583.0
2009-02-17 16:00:00,99583.0
2009-02-18 16:00:00,99583.0
2009-02-19 16:00:00,99583.0
2009-02-20 16:00:00,99583.0
2009-02-23 16:00:00,99583.0
2009-02-24 16:00:00,99583.0
2009-02-25 16:00:00,99583.0
2009-02-26 16:00:00,99583.0
2009-02-27 16:00:00,99583.0
2009-03-02 16:00:00,99583.0
2009-03-03 16:00:00,99583.0
2009-03-04 16:00:00,99583.0
2009-03-05 16:00:00,99583.0
2009-03-06 16:00:00,99583.0
2009-03-09 16:00:00,99583.0
2009-03-10 16:00:00,99583.0
2009-03-11 16:00:00,99583.0
2009-03-12 16:00:00,99583.0
2009-03-13 16:00:00,99583.0
2009-03-16 16:00:00,99583.0
2009-03-17 16:00:00,99583.0
2009-03-18 16:00:00,99583.0
2009-03-19 16:00:00,99568.0
2009-03-20 16:00:00,99565.0
